column,count,mean,std,min,25%,50%,75%,max,missing_count,missing_rate,skewness
amount,100000.0,100258.95634130001,57846.45392656257,1.43,50047.35,100477.09,150467.41,199999.75,0,0.0,-0.0049592869188718304
mcc,100000.0,5174.55836,1599.1077130040017,3000.0,4004.0,5003.0,7003.0,7999.0,0,0.0,0.2973789782326166
card_activation_age,100000.0,2190.51485,1265.4819558592226,0.0,1090.0,2192.0,3285.0,4380.0,0,0.0,-0.0034525386626794224
mean_amount_30d,100000.0,7.621798900000002,3.3618324301088642,5.0,5.61,6.55,8.35,97.99,0,0.0,4.039841279936742
std_amount_30d,100000.0,2.4492654000000003,1.9521874681295204,1.0,1.33,1.83,2.82,42.97,0,0.0,4.53213877369665
max_amount_30d,100000.0,125015.0897513,72304.57811967644,51.59,62199.86,124744.11499999999,187785.0875,249999.11,0,0.0,0.0005004916381707842
distinct_merchants_7d,100000.0,60.63493,34.69766841124965,1.0,31.0,60.0,91.0,120.0,0,0.0,0.00116366578995746
distinct_countries_30d,100000.0,12.99221,7.219367736069765,1.0,7.0,13.0,19.0,25.0,0,0.0,-0.0016671438295221919
online_share_7d,100000.0,0.49955422,0.2892679096260541,0.0,0.249,0.5,0.75,1.0,0,0.0,0.006401358053730694
night_ratio_30d,100000.0,0.49940371,0.2882211600882335,0.0,0.251,0.498,0.749,1.0,0,0.0,0.0038764589527464314
days_since_last_txn,100000.0,90.16359,52.15139025938772,0.0,45.0,90.0,135.0,180.0,0,0.0,-0.0037414450383967558
decline_rate_30d,100000.0,0.16638445,0.08542551787018053,0.002,0.102,0.154,0.217,0.666,0,0.0,0.7874155486844203
chargebacks_365d,100000.0,0.50155,1.542978096187387,0.0,0.0,0.0,0.0,10.0,0,0.0,3.9737635738611314
device_diversity_30d,100000.0,20.46664,11.54534278658718,1.0,10.0,20.0,31.0,40.0,0,0.0,0.005238245348619253
mcc_entropy_30d,100000.0,1.99457137,1.1562610885536933,0.0,0.993,1.99,2.995,4.0,0,0.0,0.003071462533764361
credit_util_today,100000.0,0.99813171,0.5774579344152577,0.0,0.497,0.998,1.497,2.0,0,0.0,0.0017059273431322694
spending_trend,100000.0,2.5455093,1.4129478909750834,0.1,1.32,2.5404999999999998,3.77,5.0,0,0.0,0.004287416908275967
fraud,100000.0,0.02549,0.15760871900083143,0.0,0.0,0.0,0.0,1.0,0,0.0,6.021487813593673
ip_score,100000.0,0.285979379,0.16008434956567152,0.0008,0.1607,0.265,0.3908,0.9108,0,0.0,0.5877206672496895
txn_count_7d,100000.0,44.91812,29.638536402697095,0.0,18.0,43.0,70.0,100.0,0,0.0,0.1926336720046492
txn_count_30d,100000.0,250.20954,144.28125492867616,1.0,125.0,250.0,375.0,500.0,0,0.0,0.00045196676250757465
txn_count_ratio_7d_30d,100000.0,0.2552583901028633,0.2238416482376538,0.0,0.09318181818181819,0.18980169971671387,0.3435114503816794,0.9900990099009901,0,0.0,1.3069929139429333
ip_is_private,100000.0,0.00441,0.0662615711099432,0.0,0.0,0.0,0.0,1.0,0,0.0,14.95889408284406
hour,100000.0,11.51479,6.927739977201217,0.0,6.0,12.0,18.0,23.0,0,0.0,-0.0005129365300353557
day_of_week,100000.0,3.00231,2.010110710719858,0.0,1.0,3.0,5.0,6.0,0,0.0,0.0027690375647619883
is_weekend,100000.0,0.29064,0.45405996531793136,0.0,0.0,0.0,1.0,1.0,0,0.0,0.922187390544989
is_night_txn,100000.0,0.33235,0.47105806060077626,0.0,0.0,0.0,1.0,1.0,0,0.0,0.7118160884594155
month,100000.0,4.16661,0.885459738378591,3.0,3.0,4.0,5.0,6.0,0,0.0,0.08983226178169436
day,100000.0,16.04201,8.827361122268865,1.0,9.0,16.0,24.0,31.0,0,0.0,-0.037027026556048726
year,100000.0,2025.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0,0,0.0,0.0
night_unusual_score,100000.0,0.16723310000000002,0.28958516087680325,0.0,0.0,0.0,0.253,1.0,0,0.0,1.5357725007566407
is_night_unusual,100000.0,0.03417,0.18166656579407028,0.0,0.0,0.0,0.0,1.0,0,0.0,5.128509087515772
amount_invalid_flag,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
std_amount_30d_zero_flag,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
mean_amount_30d_zero_flag,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
duplicate_row_flag,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
