rule,support_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,support_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
high_max_amount_30d_flag AND low_country_diversity_flag AND tokenised_flag,354,58,0.1638418079096045,0.025471428571428572,0.13837037933817595,6.432376081700681,83,23,0.27710843373493976,0.0252,0.25190843373493976,10.996366418053166,4.563990336352484,1.709534124975519,0.11326662582533525
low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy_flag AND low_night_ratio_flag AND card_not_present_flag,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy_flag AND low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_night_ratio_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
card_not_present_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
