feature_a,value_a,feature_b,value_b,support_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,support_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
payment_channel,ATM,merchant_country,PH,476,12,0.025210084033613446,0.025471428571428572,-0.0002613445378151259,0.9897396984593052,100,8,0.08,0.0252,0.0548,3.1746031746031744,2.184863476143869,3.207513224272463,0.054789915966386556
payment_channel,API_SERVER,merchant_country,KR,527,6,0.011385199240986717,0.025471428571428572,-0.014086229330441855,0.44697921865904106,107,8,0.07476635514018691,0.0252,0.04956635514018691,2.9669188547693217,2.519939636110281,6.637710936612463,0.0633811558992002
payment_channel,POS_TERMINAL,merchant_country,AU,457,9,0.019693654266958426,0.025471428571428572,-0.005777774304470146,0.7731664602844025,104,7,0.0673076923076923,0.0252,0.042107692307692304,2.6709401709401708,1.8977737106557684,3.4545473771626636,0.04761403804073388
cross_border,True,merchant_country,PH,730,20,0.0273972602739726,0.025471428571428572,0.0019258317025440293,1.0756075261795188,148,9,0.060810810810810814,0.0252,0.035610810810810814,2.4131274131274134,1.3375198869478946,2.243501790523136,0.03341355053683821
payment_channel,MOBILE_APP,merchant_country,GB,503,11,0.02186878727634195,0.025471428571428572,-0.003602641295086622,0.858561474674109,107,6,0.056074766355140186,0.0252,0.030874766355140186,2.2251891410769913,1.3666276664028822,2.5917644852744637,0.034205979078798236
payment_channel,MOBILE_APP,merchant_country,KR,505,12,0.023762376237623763,0.025471428571428572,-0.0017090523338048093,0.932903161320058,110,6,0.05454545454545454,0.0252,0.029345454545454543,2.1645021645021645,1.2315990031821065,2.3201788266203485,0.03078307830783078
payment_channel,MOBILE_APP,term_location,POS_TERMINAL,1417,35,0.024700070571630206,0.025471428571428572,-0.0007713579997983659,0.9697167358463906,293,15,0.051194539249146756,0.0252,0.025994539249146756,2.0315293352836012,1.0618125994372107,2.0949719212749947,0.02649446867751655
payment_channel,SMART_WATCH,merchant_country,ID,476,13,0.0273109243697479,0.025471428571428572,0.0018394957983193273,1.0722180066642473,101,5,0.04950495049504951,0.0252,0.024304950495049507,1.9644821625019646,0.8922641558377173,1.832166731448069,0.022194026125301608
payment_channel,API_SERVER,merchant_country,ID,509,11,0.021611001964636542,0.025471428571428572,-0.00386042660679203,0.8484409071926853,101,5,0.04950495049504951,0.0252,0.024304950495049507,1.9644821625019646,1.1160412553092793,2.3154024558842004,0.027893948530412965
payment_channel,MOBILE_APP,merchant_country,IN,517,17,0.03288201160541586,0.025471428571428572,0.007410583033987287,1.2909370792928268,103,5,0.04854368932038835,0.0252,0.02334368932038835,1.9263368777931884,0.6353997985003617,1.4922004388906638,0.01566167771497249
payment_channel,MOBILE_APP,merchant_country,CN,453,8,0.017660044150110375,0.025471428571428572,-0.007811384421318197,0.6933275886190277,103,5,0.04854368932038835,0.0252,0.02334368932038835,1.9263368777931884,1.2330092891741606,2.7783935135938838,0.030883645170277974
payment_channel,SMART_WATCH,merchant_country,BR,529,14,0.026465028355387523,0.025471428571428572,0.000993599783958951,1.0390084043057357,105,5,0.047619047619047616,0.0252,0.022419047619047616,1.8896447467876039,0.8506363424818681,1.8187001540488617,0.021154019263660093
