feature,bin,count,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,min_value,max_value,mean_value
amount,"(20064.603, 39866.496]",7000,191,0.027285714285714285,0.025471428571428572,0.0018142857142857127,1.071228266965788,20064.74,39865.56,29960.735031428572
amount,"(59660.565, 79869.11]",7000,190,0.027142857142857142,0.025471428571428572,0.0016714285714285702,1.065619742007852,59660.73,79863.89,69770.70441857143
amount,"(79869.11, 100132.98]",7000,184,0.026285714285714287,0.025471428571428572,0.0008142857142857153,1.0319685922602355,79872.59,100129.94,90005.54184142857
amount,"(140466.319, 160364.184]",7000,182,0.026,0.025471428571428572,0.0005285714285714269,1.0207515423443634,140468.44,160363.04,150426.79334571428
amount,"(120348.22, 140466.319]",7000,178,0.02542857142857143,0.025471428571428572,-4.2857142857143093e-05,0.9983174425126192,120350.65,140465.41,130398.78745
amount,"(-inf, 20064.603]",7000,176,0.025142857142857144,0.025471428571428572,-0.00032857142857142807,0.9871003925967471,1.43,20063.37,10063.440307142859
amount,"(100132.98, 120348.22]",7000,175,0.025,0.025471428571428572,-0.00047142857142857056,0.981491867638811,100136.02,120346.6,110281.90780714285
amount,"(180212.031, inf]",7000,173,0.024714285714285713,0.025471428571428572,-0.000757142857142859,0.9702748177229388,180213.12,199996.14,190063.0885614286
amount,"(39866.496, 59660.565]",7000,170,0.024285714285714285,0.025471428571428572,-0.0011857142857142865,0.9534492428491307,39866.73,59660.18,49785.06932428571
amount,"(160364.184, 180212.031]",7000,164,0.023428571428571427,0.025471428571428572,-0.002042857142857145,0.9197980931015142,160368.76,180211.91,170297.90189
mean_amount_30d,"(11.16, inf]",6992,221,0.03160755148741419,0.025471428571428572,0.006136122915985618,1.2409021896348813,11.17,97.99,15.353262299771167
mean_amount_30d,"(7.84, 9.0]",6984,211,0.030211912943871707,0.025471428571428572,0.004740484372443135,1.1861098744088723,7.85,9.0,8.377495704467353
mean_amount_30d,"(9.0, 11.16]",6973,205,0.029399110856159472,0.025471428571428572,0.0039276822847309,1.1541995288452962,9.01,11.16,9.939908217410009
mean_amount_30d,"(6.55, 7.09]",6957,182,0.02616070145177519,0.025471428571428572,0.0006892728803466197,1.0270606290657676,6.56,7.09,6.812085669110249
mean_amount_30d,"(7.09, 7.84]",6998,178,0.025435838811088882,0.025471428571428572,-3.558976033968958e-05,0.9986027575862152,7.1,7.84,7.4496613318090885
mean_amount_30d,"(5.22, 5.47]",7031,172,0.024463092021049637,0.025471428571428572,-0.0010083365503789354,0.9604130350384041,5.23,5.47,5.345662067984639
mean_amount_30d,"(6.12, 6.55]",7022,169,0.024067217317003703,0.025471428571428572,-0.001404211254424869,0.9448711229334039,6.13,6.55,6.332485046995158
mean_amount_30d,"(5.77, 6.12]",6925,158,0.022815884476534296,0.025471428571428572,-0.0026555440948942757,0.8957442026682001,5.78,6.12,5.945254873646209
mean_amount_30d,"(5.47, 5.77]",7025,144,0.020498220640569394,0.025471428571428572,-0.004973207930859178,0.8047534743913951,5.48,5.77,5.620183629893239
mean_amount_30d,"(-inf, 5.22]",7093,143,0.020160721838432257,0.025471428571428572,-0.005310706732996315,0.7915033812059775,5.0,5.22,5.1102439024390245
std_amount_30d,"(-inf, 1.12]",7397,389,0.05258888738677842,0.025471428571428572,0.02711745881534985,2.0646226119318505,1.0,1.12,1.0613721779099636
std_amount_30d,"(1.12, 1.25]",6710,292,0.04351713859910581,0.025471428571428572,0.01804571002767724,1.708468705517334,1.13,1.25,1.1882742175856928
std_amount_30d,"(1.25, 1.41]",7020,253,0.03603988603988604,0.025471428571428572,0.010568457468457467,1.4149142023511063,1.26,1.41,1.332168091168091
std_amount_30d,"(1.41, 1.6]",7108,216,0.030388294879009566,0.025471428571428572,0.004916866307580994,1.1930345718063207,1.42,1.6,1.506945694991559
std_amount_30d,"(1.6, 1.83]",6880,161,0.023401162790697674,0.025471428571428572,-0.0020702657807308983,0.9187220388944684,1.61,1.83,1.7161380813953488
std_amount_30d,"(1.83, 2.13]",7000,118,0.01685714285714286,0.025471428571428572,-0.008614285714285713,0.6618059450364555,1.84,2.13,1.9777071428571427
std_amount_30d,"(2.13, 2.54]",6935,112,0.016149963950973324,0.025471428571428572,-0.009321464620455248,0.6340423312216111,2.14,2.54,2.3281211247296323
std_amount_30d,"(2.54, 3.18]",7038,86,0.012219380505825519,0.025471428571428572,-0.013252048065603053,0.47972890376207866,2.55,3.18,2.8363796533105994
std_amount_30d,"(3.18, 4.41]",6938,80,0.01153070049005477,0.025471428571428572,-0.013940728081373801,0.4526915503667044,3.19,4.41,3.7101816085327184
std_amount_30d,"(4.41, inf]",6974,76,0.010897619730427301,0.025471428571428572,-0.014573808841001271,0.4278370056813859,4.42,42.97,6.862429022082019
max_amount_30d,"(225176.777, inf]",7000,439,0.06271428571428571,0.025471428571428572,0.03724285714285713,2.462142456533931,225178.46,249999.11,237616.02005857145
max_amount_30d,"(200126.978, 225176.777]",7000,370,0.05285714285714286,0.025471428571428572,0.027385714285714288,2.075154234436343,200127.69,225176.59,212685.57743285713
max_amount_30d,"(175155.979, 200126.978]",7000,246,0.03514285714285714,0.025471428571428572,0.00967142857142857,1.3796971396522715,175157.96,200126.8,187643.50968999998
max_amount_30d,"(150090.35, 175155.979]",7000,223,0.031857142857142855,0.025471428571428572,0.006385714285714283,1.250701065619742,150090.74,175155.13,162510.60963714286
max_amount_30d,"(124744.115, 150090.35]",7000,143,0.020428571428571428,0.025471428571428572,-0.005042857142857144,0.802019068984857,124744.67,150090.09,137364.6606457143
max_amount_30d,"(99951.232, 124744.115]",7000,120,0.017142857142857144,0.025471428571428572,-0.008328571428571428,0.6730229949523275,99951.24,124743.56,112397.52724857142
max_amount_30d,"(74802.547, 99951.232]",7000,79,0.011285714285714286,0.025471428571428572,-0.014185714285714286,0.443073471676949,74802.73,99951.22,87404.27291428571
max_amount_30d,"(49961.108, 74802.547]",7000,74,0.010571428571428572,0.025471428571428572,-0.0149,0.41503084688726866,49962.59,74802.12,62333.65143428572
max_amount_30d,"(-inf, 24880.755]",7000,52,0.0074285714285714285,0.025471428571428572,-0.018042857142857145,0.2916432978126753,55.68,24880.35,12392.668788571427
max_amount_30d,"(24880.755, 49961.108]",7000,37,0.005285714285714286,0.025471428571428572,-0.020185714285714286,0.20751542344363433,24880.8,49955.18,37455.47591714285
night_ratio_30d,"(-inf, 0.101]",7038,511,0.0726058539357772,0.025471428571428572,0.04713442536434863,2.850482207237467,0.0,0.101,0.050895566922421136
night_ratio_30d,"(0.101, 0.201]",6999,362,0.051721674524932135,0.025471428571428572,0.026250245953503563,2.0305761170752943,0.102,0.201,0.15150750107158167
night_ratio_30d,"(0.201, 0.301]",7010,259,0.0369472182596291,0.025471428571428572,0.011475789688200528,1.4505357701480859,0.202,0.301,0.2524159771754636
night_ratio_30d,"(0.301, 0.399]",6965,212,0.030437903804737976,0.025471428571428572,0.0049664752333094045,1.19498220209291,0.302,0.399,0.35039798994974874
night_ratio_30d,"(0.399, 0.498]",7010,125,0.01783166904422254,0.025471428571428572,-0.007639759527206032,0.7000655261332461,0.4,0.498,0.44859714693295294
night_ratio_30d,"(0.498, 0.6]",7034,96,0.013647995450668183,0.025471428571428572,-0.011823433120760389,0.5358158617760924,0.499,0.6,0.5499877736707421
night_ratio_30d,"(0.6, 0.699]",6957,74,0.010636768722150353,0.025471428571428572,-0.014834659849278219,0.41759607994981757,0.601,0.699,0.6496902400459968
night_ratio_30d,"(0.699, 0.799]",7003,57,0.00813936884192489,0.025471428571428572,-0.017332059729503684,0.31954897304248026,0.7,0.799,0.7489922890189918
night_ratio_30d,"(0.899, inf]",6976,44,0.006307339449541285,0.025471428571428572,-0.019164089121887287,0.24762409504648902,0.9,1.0,0.949923881880734
night_ratio_30d,"(0.799, 0.899]",7008,43,0.006135844748858447,0.025471428571428572,-0.019335583822570127,0.24089126888395473,0.8,0.899,0.8494586187214612
mcc_entropy_30d,"(-inf, 0.393]",7009,625,0.08917106577257812,0.025471428571428572,0.06369963720114954,3.500827035378838,0.0,0.393,0.19709188186617205
mcc_entropy_30d,"(0.393, 0.788]",6992,413,0.059067505720823796,0.025471428571428572,0.03359607714939522,2.3189710602679,0.394,0.788,0.5907090961098399
